dosya,ticker,baslangic,bitis,karar_tarihi
1.docx,CEOEM;TEHOL,26.10.2025,24.01.2026,24.01.2026
2.docx,DOGUB,03.03.2021,01.06.2021,01.06.2021
3.docx,TRALT,16.10.2025,14.01.2026,14.01.2026
4.docx,SONME,01.04.2025,30.06.2025,30.06.2025
5.docx,HEDEF,27.12.2024,27.03.2025,27.03.2025
6.docx,TUREX,14.06.2024,12.09.2024,12.09.2024
a.docx,ADESE,25.05.2024,23.08.2024,23.08.2024
b.docx,IHGZT,28.07.2022,16.08.2022,02.02.2023
c.docx,IHGZT,25.10.2019,30.12.2019,25.10.2019
d.docx,ARSAN,13.12.2019,12.03.2020,12.03.2020
e.docx,ULAS,03.01.2026,03.04.2026,03.04.2026
f.docx,NIBAS,23.07.2020,21.10.2020,21.10.2020
g.docx,EGEEN;JANTS;PRKAB;DOBUR,22.09.2023,21.12.2023,21.12.2023
h.docx,PENGD,25.03.2020,23.06.2020,23.06.2020
i.docx,EUYO,05.08.2020,03.11.2020,03.11.2020
j.docx,PEGYO,17.10.2023,15.01.2024,15.01.2024
k.docx,TMPOL,06.01.2023,06.04.2023,06.04.2023
l.docx,NUGYO;OYLUM,03.09.2021,14.09.2021,15.09.2021
m.docx,MARKA,23.05.2017,23.02.2018,23.05.2017
n.docx,SAMAT,20.10.2020,17.12.2020,20.10.2020
o.docx,BMSCH;KZBGY,27.01.2022,27.04.2022,27.04.2022
p.docx,CANTE,30.09.2022,29.12.2022,29.12.2022
q.docx,PCILT,03.05.2023,01.08.2023,01.08.2023
r.docx,ETYAT,08.11.2025,06.02.2026,06.02.2026
s.docx,PNSUT,18.07.2025,16.10.2025,16.10.2025
t.docx,KIMMR,05.07.2022,03.10.2022,03.10.2022
u.docx,TUREX;PIT,15.01.2021,15.04.2021,15.04.2021
v.docx,TDGYO,24.03.2020,31.03.2020,02.04.2020
w.docx,PAMEL;RAYSG;ETYAT;GLBMD,27.09.2025,26.12.2025,26.12.2025
x.docx,BASGZ,27.09.2024,26.12.2024,26.12.2024
y.docx,EUKYO;AVTUR,18.08.2023,16.11.2023,16.11.2023
z.docx,EKSUN,10.10.2024,08.01.2025,08.01.2025
ç.docx,AVGYO;BJKAS,20.01.2024,19.04.2024,19.04.2024
ö.docx,JANTS,14.11.2020,12.02.2021,12.02.2021
ü.docx,ITTFH;DOBUR,12.05.2022,10.08.2022,10.08.2022
ğ.docx,ANHYT,27.10.2021,25.01.2022,25.01.2022
ı.docx,JANTS,14.11.2020,12.02.2021,12.02.2021
ş.docx,DENGE,03.04.2020,02.07.2020,02.07.2020
